Entity 1;Entity 2;Users’ Questions;Chatbot answers: theory;Chatbot answers: examples;;;;;;;;;;;;;;;
nouns;gender;Do English nouns have gender?;In general there is no distinction between masculine, feminine in English nouns. However, gender is sometimes shown by different forms or different words when referring to people or animals.;Masculine: man, father, boy, uncle, husband, actor, prince, waiter. Feminine: woman, mother, girl, aunt, wife, actress, princess, waitress. Neutral: person, parent, child, spouse, server.;;;;;;;;;;;;;;;
noun;plural form;How to form a plural form of a noun?;Most singular nouns form the plural by adding -s. A singular noun ending in s, x, z, ch, sh makes the plural by adding-es.;Boat - boats, house - houses, cat - cats, river - rivers. Bus - buses, wish - wishes, pitch - pitches, box - boxes.;;;;;;;;;;;;;;;
nouns;countable and uncountable;What is the difference between countable and uncountable nouns?;"Countable nouns are for things we can count using numbers. They have a singular and a plural form. The singular form can use the determiner ""a"" or ""an"". If you want to ask about the quantity of a countable noun, you ask ""How many?"" combined with the plural countable noun. Uncountable nouns are for the things that we cannot count with numbers. They may be the names for abstract ideas or qualities or for physical objects that are too small or too amorphous to be counted (liquids, powders, gases, etc.). Uncountable nouns are used with a singular verb. They usually do not have a plural form.";Countable: one dog - two dogs, one horse - two horses, one idea - two ideas. Uncountable: tea, sugar, water, air, rice, knowledge, beauty, anger, fear, love, money, research, safety, evidence.;;;;;;;;;;;;;;;
pronouns;definite;What are the definite pronouns?;Pronouns replace nouns. A different pronoun is required depending on two elements: the noun being replaced and the function that noun has in the sentence.;I - me - my - mine - myself. You - you - your - yours - yourself. He - him - his - his - himself. She - her - her - hers - herself. It - it - its - - itself. We - us - our - ours - ourselves. You - you - your - yours - yourselves. They - them - their - theirs - themselves.;;;;;;;;;;;;;;;
pronoun;indefinite;What is an indefinite pronoun?;Indefinite pronouns do not refer to a specific person, place, or thing. In English, there is a particular group of indefinite pronouns formed with a quantifier or distributive preceeded by any, some, every and no.;About people: everyone, everybody, someone, somebody, anyone, anybody, no one, nobody. About places: everywhere, somewhere, anywhere, nowhere. About things: everything, something, anything, nothing.;;;;;;;;;;;;;;;
words formed;How;How are the words formed in English?;Words can be combined to form compound nouns. These are very common, and new combinations are invented almost daily. They normally have two parts. The first part tells us what kind of object or person it is, or what its purpose is. The second part identifies the object or person in question. Compound nouns often have a meaning that is different, or more specific, than the two separate words.;Police + man = policeman. Boy + friend = boyfriend.;;;;;;;;;;;;;;;
possessive;form;How to form a possessive?;The possessive form is used with nouns referring to people, groups of people, countries, and animals. It shows a relationship of belonging between one thing and another. To form the possessive, add apostrophe + s to the noun. If the noun is plural, or already ends in s, just add an apostrophe after the s.;"The car of John = John’s car; clothes of men = men’s clothes.";;;;;;;;;;;;;;;
noun;What;What is a noun?;"Nouns answer the questions ""What is Nouns answer the questions ""What is it?"" and ""Who is it?"" They give names to things, people, and places.";Dog, bicycle, Mary, girl, beauty, France, world;;;;;;;;;;;;;;;
adjective;What;What is an adjective?;"Adjectives describe the aspects of nouns. When an adjective is describing a noun, we say it is ""modifying"" it. Adjectives can: describe feelings or qualities, give nationality or origin, tell more about a thing’s characteristics, tell us about age, tell us about size and measurement, tell us about colour, tell us what something is made of, tell us about shape, express a judgement or a value.";He is a lonely man. I heard a French song. That is a flashy car. He’s a young man. John is a tall man. Paul wore a red shirt. The table is wooden I sat at a round table. That was a fantastic film.;;;;;;;;;;;;;;;
adjective;sentence;Where to place an adjective in a sentence?;Adjectives in English are invariable. They do not change their form depending on the gender or number of the noun. Adjectives in English usually appear in front of the noun that they modify.;This is a hot potato. Those are some hot potatoes. The beautiful girl ignored me. You look tired. This meat tastes funny.;;;;;;;;;;;;;;;
adjectives;order;Do adjectives have an order?;When a number of adjectives are used together, the order depends on the function of the adjective. The usual order is: Quantity, Value/opinion, Size, Temperature, Age, Shape, Colour, Origin, Material.;They have a lovely old red post-box. The playroom has six small round plastic tables. I bought some charming Victorian silver ornaments at the flea market.;;;;;;;;;;;;;;;
superlative;comparative;What is a comparative and superlative adjective?;Comparative adjectives are used to compare differences between the two objects they modify (larger, smaller, faster, higher). They are used in sentences where two nouns are compared, in this pattern: Noun (subject) + verb + comparative adjective + than + noun (object). Superlative adjectives are used to describe an object which is at the upper or lower limit of a quality (the tallest, the smallest, the fastest, the highest). They are used in sentences where a subject is compared to a group of objects: Noun (subject) + verb + the + superlative adjective + noun (object).;Comparative: My house is larger than hers. This box is smaller that the one I lost. Your dog runs faster than Jim’ dog. Superlative: My house is the largest one in our neighbourhood. This is the smallest box I’ve ever seen. Your dog ran the fastest of any dog in the race.;;;;;;;;;;;;;;;
adjectives;compare;How to use adjectives to compare things?;Comparing equal attributes is simple. To compare the attributes of two things that are equal, we use the pattern: as + adjective describing the attribute + as. When the two attributes are not equal, there are three constructions with equivalent meanings. Either use the pattern: not as + adjective describing the attribute + as. Or use the pattern: less + adjective describing the attribute + than : This construction is more frequent with some adjectives than with others. Or use the pattern: comparative adjective + than : This construction may require changing the order of the phrase or using the opposing adjective.;Tom is as tall as his brother. Mont Blanc is less high than Mount Everest. Norway is not as sunny as Thailand. Norway is cloudier that Thailand.;;;;;;;;;;;;;;;
adjectives;equal quantities;How to compare adjectives describing equal quantities?;To compare two things that are equal, we use the pattern: as + adjective indicating quantity + (noun) + as. The quantity adjective you use depends if the noun in the comparison is countable or uncountable. Use as much or as little with uncountable nouns. Note that the noun may be ommitted when it is understood from the context, as in the last example below.;They have as many children as we do. Tom has as few books as Jane. John eats as much food as Peter. They’ve got as little water as we have.;;;;;;;;;;;;;;;
adjectives;unequal quantities;How to compare adjectives describing unequal quantities?;To compare two things that are unequal, we use the pattern: adjective indicating quantity + (noun) + than. The quantity adjective you use depends if the noun in the comparison is countable or uncountable. Use more and fewer with countable nouns. Use more or less with uncountable nouns.;We have more customers than they do. Tom has fewer books than Jane. John eats more food than Peter. Jim has less patience than Sam.;;;;;;;;;;;;;;;
adverb;What;What is an adverb?;Adverbs modify, or tell us more about, other words. Usually adverbs modify verbs, telling us how, how often, when, or where something was done. The adverb is placed after the verb it modifies.;The bus moved slowly. You are very persistent. She played the violin extremely well.;;;;;;;;;;;;;;;
adverb;adjective;How to form an adverb from an adjective?;In most cases, an adverb is formed by adding -ly to an adjective. If the adjective ends in -y, replace the y with i and add -ly. If the adjective ends in -able, -ible, or -le, replace the -e with -y. Some adverbs have the same form as the adjective: early, fast, hard, high, late, near, straight, & wrong.;cheap - cheaply, easy - easily, probable - probably, basic - basically. It is a fast car. He drives very fast.;;;;;;;;;;;;;;;
comparative and superlative adverbs;How to;How to form comparative and superlative adverbs?;With adverbs ending in -ly, you must use more to form the comparative, and most to form the superlative. With short adverbs that do not end in -ly comparative and superlative forms are identical to adjectives: add -er to form the comparative and -est to form the superlative. If the adverb ends in e, remove it before adding the ending.;"Quietly - more quietly - most quietly; hard - harder - hardest. Jim works harder than his brother. ";;;;;;;;;;;;;;;
adverb;place;What is an adverb of a place?;Adverbs of place tell us where something happens. Adverbs of place are usually placed after the main verb or after the clause that they modify. Adverbs of place do not modify adjectives or other adverbs. Some examples of adverbs of place: here, everywhere, outside, away, around.;John looked around but he couldn’t see the monkey. I searched everywhere I could think of. I’m going back to school. Come in!;;;;;;;;;;;;;;;
adverb;time;What is an adverb of a time?;Adverbs of time tell us when an action happened, but also for how long, and how often. Adverbs of time are invariable. They are extremely common in English. Adverbs of time have standard positions in a sentence depending on what the adverb of time is telling us.;Goldilocks went to the Bears’ house yesterday. I saw Sally today. I have to leave now. She stayed in the Bears’ house all day. My mother lived in France for a year. I’ve been going to this school since 1996.;;;;;;;;;;;;;;;
adverb;manner;What is an adverb of a manner?;Adverbs of manner tell us how something happens. They are usually placed either after the main verb or after the object. An adverb of manner cannot be put between a verb and its direct object. The adverb must be placed either before the verb or at the end of the clause.;He swims well. He ran quickly. He ate greedily the chocolate cake. He generously gave us the money.;;;;;;;;;;;;;;;
adverb;degree;What is an adverb of a degree?;"Adverbs of degree tell us about the intensity of something. Adverbs of degree are usually placed beforethe adjective, adverb, or verb that they modify, although there are some exceptions. The words ""too"", ""enough"", ""very"", and ""extremely"" are examples of adverbs of degree.";Extremely: The water was extremely cold. Just: He was just leaving. Very: She is running very fast.;;;;;;;;;;;;;;;
adverb;certainty;What is an adverb of a certainty?;Adverbs of certainty express how certain we feel about an action or event. Adverbs of certainty go before the main verb unless the main verb is 'to be', in which case the adverb of certainty goes after.;He definitely left the house this morning. He is certainly a smart man.;;;;;;;;;;;;;;;
adverbs;relative;What are the relative adverbs?;The relative adverbs where, when & why can be used to join sentences or clauses. They replace the more formal structure of preposition + which used to introduce a relative clause.;That’s the restaurant in which we met for the first time. OR That’s the restaurant where we met for the first time.;;;;;;;;;;;;;;;
adverb;interrogative;What is an interrogative adverb?;The interrogative adverbs why, where, how, & when are placed at the beginning of a question. These questions can be answered with a sentence or a prepositional phrase. After an interrogative adverb in a question, you must invert the subject and verb so that the verb comes first.;Why are you so late? Where is my passport? How did you make this sauce?;;;;;;;;;;;;;;;
determiner;What;What is a determiner?;Determiners are words placed in front of a noun to make it clear what the noun refers to. Use the pages in this section to help you use English determiners correctly.;An apple, a pie, those people, both girls…;;;;;;;;;;;;;;;
definite article;How to;How to use a definite article?;"The word ""the"" is one of the most common words in English. It is our only definite article. Use the to refer to something which has already been mentioned. Use the when you assume there is just one of something in that place, even if it has not been mentioned before. Use the in sentences or clauses where you define or identify a particular person or object. Use the to refer to people or objects that are unique. Use the before superlatives and ordinal numbers. Use the with adjectives, to refer to a whole group of people. Use the with decades.";There’s a position available in my team. The job will involve some international travel. We went on a walk in the forest yesterday. The man who wrote this book is famous. The sun rose at 6:17 this morning. This is the highest building in New York. The French enjoy cheese. This is a painting from the 1820’s.;;;;;;;;;;;;;;;
indefinite article;How to;How to use an indefinite article?;In English, the two indefinite articles are a and an. Like other articles, indefinite articles are invariable. You use one or the other, depending on the first letter of the word following the article, for pronunciation reasons. Use a when the next word starts with a consonant, or before words starting in u and eu when they sound like you. Use an when the next word starts with a vowel (a,e,i,o,u) or with a mute h.;A boy, an apple, a car, an elephant, an ugly duck, an hour.;;;;;;;;;;;;;;;
these and those;difference;What’s the difference between these and those?;Demonstratives show where an object, event, or person is in relation to the speaker. They can refer to a physical or a psychological closeness or distance. When talking about events, the near demonstratives are often used to refer to the present while the far demonstratives often refer to the past.;This is a nice surprise! That must have been a nice surprise for you. These apples are mine. Those apples are yours.;;;;;;;;;;;;;;;
pronoun;What is;What is a pronoun?;Subject pronouns replace nouns that are the subject of their clause. In the 3rd person, subject pronouns are often used to avoid repetition of the subject's name. Object pronouns are used to replace nouns that are the direct or indirect object of a clause. Possessive pronouns replace possessive nouns as either the subject or the object of a clause. Because the noun being replaced doesn't appear in the sentence, it must be clear from the context.;I am 16. You seem lost. Give the book to me. The teacher wants to talk to you. This bag is mine. Yours is not blue.;;;;;;;;;;;;;;;
few;little;When to use few and little?;"Quantifiers are adjectives and adjectival phrases that give approximate or specific answers to the questions ""How much?"" and ""How many?"" ";"Numbers: ordinal, cardinal, and percentages; enough; graded quantifiers like few, many, little, much.";;;;;;;;;;;;;;;
numbers;ordinal ;What is the difference between cardinal and ordinal numbers?;The cardinal numbers (one, two, three, etc.) are adjectives referring to quantity, and the ordinal numbers (first, second, third, etc.) refer to distribution.;Cardinal: one, two, three, four, five, six, seven, eight, nine, ten, eleven… one hundred, one thousand, one million… Ordinal: first, second, third, fourth, fifth, sixth, seventh, eighth, ninth, tenth, eleventh.;;;;;;;;;;;;;;;
determiners;distributive;What are distributive determiners?;Distributive determiners refer to a group of people or things, and to individual members of the group. They show different ways of looking at the individuals within a group, and they express how something is distributed, shared, or divided.;Each child received a present. Each of the children received a present. All cheese contains protein. I had half a cup of milk left. Both children were born in Italy. Either day is fine for me. ;;;;;;;;;;;;;;;
other and another;use;When can I use determiners other and another?;The determiners other and another refer to something different, remaining, or additional. They are placed before a noun. The other is treated separately because its usage is slightly different.;Do you have other shoes? I know some others who might like to come. Have another cookie. Where is the other box of cereal?;;;;;;;;;;;;;;;
pre-determiners;use;How to use pre-determiners correctly?;Pre-determiners are normally placed before an indefinite article + adjective + noun to express an opinion about the noun they modify. Such and what are used to express surprise or other emotions.;What a lovely day! It was quite a nice day. It’s rather a small car.;;;;;;;;;;;;;;;
verb;;What is a verb?;Selecting the correct verb tense and conjugating verbs correctly is tricky in English. The English verbs can be regular and irregular. Irregular verbs are the most common ones.;I play football. I am singing. She has broken a cup. Examples of irregular verbs: go, break… I go for a walk. I went for a walk. I didn’t want to break a cup. I have broken a cup.;;;;;;;;;;;;;;;
present simple;sentence;How to form a sentence in present simple?;The simple present tense is one of several forms of present tense in English. It is used to describe habits, unchanging situations, general truths, and fixed arrangements. The simple present tense is simple to form. Just use the base form of the verb: (I take, you take, we take, they take) The 3rd person singular takes an -s at the end. (he takes, she takes).;They walk home. Who walks home every day after work?;;;;;;;;;;;;;;;
present continuous;sentence;How to form a sentence in present continuous?;The present continuous of any verb is composed of two parts - the present tense of the verb to be + the present participle of the main verb. (The form of the present participle is: base+ing, e.g. talking, playing, moving, smiling);They are walking home. Where are they going?;;;;;;;;;;;;;;;
past simple;sentence;How to form a sentence in past simple?;The simple past tense, sometimes called the preterite, is used to talk about a completed action in a time before now. The simple past is the basic form of past tense in English. The time of the action can be in the recent past or the distant past and action duration is not important. Forming the Past Simple: Subject + Verb + ed OR Subject + Second form of an Irregular verb.;Peter lived in China in 1965. Where did he live 5 years ago?;;;;;;;;;;;;;;;
